id_client,revenu_mensuel,charges_mensuelles,montant_demande,duree_mois,historique_echeances,taux_remboursement_indiv,taux_remboursement_final
CLI-2026-0001,208013,69569,1000000,12,21,0.55,0.86
CLI-2026-0002,653071,209502,750000,6,1,0.55,0.68
CLI-2026-0003,575471,290279,500000,6,9,0.56,0.96
CLI-2026-0004,435270,265547,1000000,6,10,0.81,0.92
CLI-2026-0005,431459,111259,200000,12,19,0.56,0.74
CLI-2026-0006,708088,158013,1000000,6,3,0.93,0.83
CLI-2026-0007,205864,178064,1000000,24,10,0.88,0.66
CLI-2026-0008,603289,104438,500000,9,3,0.91,0.99
CLI-2026-0009,280955,109859,750000,24,18,0.76,0.96
CLI-2026-0010,211215,101532,500000,18,15,1.0,0.97
CLI-2026-0011,492211,298591,300000,9,11,0.52,0.73
CLI-2026-0012,784154,233963,750000,6,9,0.7,0.67
CLI-2026-0013,628239,258622,300000,18,3,0.66,0.68
CLI-2026-0014,644740,252307,300000,6,22,0.97,0.64
CLI-2026-0015,616360,289377,500000,6,15,0.79,0.65
CLI-2026-0016,660941,67372,1000000,24,7,0.9,0.63
CLI-2026-0017,483597,269224,300000,9,9,0.59,1.0
CLI-2026-0018,233273,57305,500000,3,17,0.99,0.63
CLI-2026-0019,695836,163609,200000,9,17,0.75,0.65
CLI-2026-0020,442750,194552,200000,9,11,0.75,0.93
CLI-2026-0021,475228,133043,200000,24,7,0.99,0.83
CLI-2026-0022,391018,78005,200000,18,15,0.69,0.91
CLI-2026-0023,268657,89998,1000000,6,15,0.7,0.85
CLI-2026-0024,752397,254412,1000000,3,14,0.79,0.95
CLI-2026-0025,658018,122868,1000000,12,1,0.56,0.86
CLI-2026-0026,568512,120687,200000,3,11,0.66,0.81
CLI-2026-0027,411569,280074,200000,6,14,0.6,0.89
CLI-2026-0028,684795,77406,300000,3,22,0.55,0.78
CLI-2026-0029,504528,277969,500000,3,12,0.93,0.74
CLI-2026-0030,438219,279452,300000,24,8,0.79,0.79
CLI-2026-0031,442798,195625,500000,3,13,0.68,0.67
CLI-2026-0032,297705,83038,200000,3,4,0.7,0.92
CLI-2026-0033,209888,80523,750000,24,2,0.72,0.7
CLI-2026-0034,510480,114027,300000,6,16,0.82,0.66
CLI-2026-0035,727128,190128,200000,18,23,0.96,0.7
CLI-2026-0036,191481,79939,750000,3,20,0.97,0.94
CLI-2026-0037,707889,158471,1000000,3,14,0.7,0.73
CLI-2026-0038,687960,70027,200000,3,0,0.66,0.87
CLI-2026-0039,329893,180473,500000,18,23,0.73,0.94
CLI-2026-0040,560581,45498,1000000,12,10,0.78,0.63
CLI-2026-0041,257398,224349,750000,9,6,0.73,0.91
CLI-2026-0042,642757,54402,1000000,6,21,0.83,0.72
CLI-2026-0043,605339,90653,500000,3,17,0.78,0.69
CLI-2026-0044,380441,85406,300000,12,17,0.66,0.88
CLI-2026-0045,194148,256058,750000,6,6,0.67,0.96
CLI-2026-0046,780953,53879,200000,12,23,0.69,0.72
CLI-2026-0047,439696,151607,300000,18,10,0.55,0.83
CLI-2026-0048,730528,193697,750000,24,12,0.58,0.72
CLI-2026-0049,590647,174158,750000,9,18,0.86,0.82
CLI-2026-0050,655949,216985,200000,3,15,0.69,0.85
CLI-2026-0051,643934,248806,500000,6,4,0.61,0.84
CLI-2026-0052,276515,142343,300000,24,7,0.78,0.85
CLI-2026-0053,386538,255336,500000,12,8,0.88,0.65
CLI-2026-0054,453368,122677,1000000,12,22,0.63,0.88
CLI-2026-0055,473564,295949,200000,9,17,0.91,0.87
CLI-2026-0056,178472,171176,1000000,3,8,0.96,0.87
CLI-2026-0057,505270,231363,500000,24,17,0.8,0.63
CLI-2026-0058,250288,267501,750000,18,17,0.83,0.78
CLI-2026-0059,633194,246089,500000,24,9,0.53,0.76
CLI-2026-0060,593981,261294,300000,24,9,0.97,0.63
CLI-2026-0061,749643,179493,750000,6,21,0.7,0.69
CLI-2026-0062,634095,51303,750000,6,13,0.96,0.78
CLI-2026-0063,388317,168201,200000,6,3,0.79,0.9
CLI-2026-0064,778881,87189,750000,24,17,0.5,0.69
CLI-2026-0065,417052,271170,750000,12,14,0.52,0.93
CLI-2026-0066,361786,101553,300000,9,12,0.84,0.82
CLI-2026-0067,738598,99298,1000000,24,17,0.78,0.9
CLI-2026-0068,390798,104840,750000,12,21,0.51,0.79
CLI-2026-0069,199623,207067,300000,24,7,0.87,0.8
CLI-2026-0070,455211,188520,200000,24,10,0.93,0.85
